Year_Month,Avg_Wind_Speed_mps
2010-01,2.756267409470752
2010-02,3.388059701492537
2010-03,3.360699865410498
2010-04,3.191340782122905
2010-05,3.293640054127199
2010-06,3.558333333333333
2010-07,3.5754716981132075
2010-08,2.5954301075268815
2010-09,2.5933147632311977
2010-10,3.58974358974359
2010-11,2.5195530726256985
2010-12,2.780619111709287
2011-01,3.7462887989203777
2011-02,2.5529061102831596
2011-03,3.096075778078484
2011-04,2.8284518828451883
2011-05,2.945872801082544
2011-06,3.482566248256625
2011-07,3.025537634408602
2011-08,2.8423180592991915
2011-09,3.1569444444444446
2011-10,2.873144399460189
2011-11,2.5597222222222222
2011-12,3.381081081081081
2012-01,3.012129380053908
2012-02,2.8676258992805757
2012-03,2.8469945355191255
2012-04,3.268802228412256
2012-05,3.3911290322580645
2012-06,3.5125
2012-07,3.5525606469002695
2012-08,2.7641509433962264
2012-09,2.8375
2012-10,2.816464237516869
2012-11,3.2875
2012-12,3.506720430107527
2013-01,3.09421265141319
2013-02,2.9851190476190474
2013-03,3.083445491251682
2013-04,3.1154381084840055
2013-05,3.4591836734693877
2013-06,4.149048625792812
2013-07,3.7113821138211383
2013-08,3.6721311475409837
2013-09,3.525762355415352
2013-10,3.294478527607362
2013-11,3.7732497387669803
2013-12,3.64
2014-01,3.028776978417266
2014-02,3.5694915254237287
2014-03,3.088957055214724
2014-04,3.130252100840336
2014-05,3.76519052523172
2014-06,3.607066381156317
2014-07,3.567053854276663
2014-08,3.574642126789366
2014-09,3.2978947368421054
2014-10,3.065856129685917
2014-11,3.3263378803777544
2014-12,3.739130434782609
2015-01,3.084762865792129
2015-02,3.1591928251121075
2015-03,2.973737373737374
2015-04,4.142857142857143
2015-05,4.199186991869919
2015-06,4.4911366006256515
2015-07,4.315151515151515
2015-08,3.271617497456765
2015-09,3.173867228661749
2015-10,3.166160081053698
2015-11,3.2094240837696337
2015-12,3.6255102040816327
2016-01,3.435793731041456
2016-02,3.5194228634850164
2016-03,2.8807053941908713
2016-04,3.2111344537815127
2016-05,3.750252780586451
2016-06,3.699367088607595
2016-07,3.8621041879468847
2016-08,3.2160493827160495
2016-09,3.2283298097251585
2016-10,3.702839756592292
2016-11,3.6117021276595747
2016-12,3.435137895812053
2017-01,2.9896800825593397
2017-02,3.319506726457399
2017-03,3.0597165991902835
2017-04,3.241850683491062
2017-05,3.0
2017-06,4.386993603411514
2017-07,3.180061037639878
2017-08,4.04786680541103
2017-09,3.0823401950162514
2017-10,4.101419878296146
2017-11,3.4373024236037937
2017-12,3.842479674796748
2018-01,3.2285136501516685
2018-02,3.0528683914510686
2018-03,3.152129817444219
2018-04,3.2974413646055436
2018-05,4.033707865168539
2018-06,3.75678496868476
2018-07,3.6831785345717236
2018-08,3.107471852610031
2018-09,3.2694117647058825
2018-10,3.1549586776859506
2018-11,2.825165562913907
2018-12,3.891480730223124
2019-01,3.079107505070994
2019-02,3.1952861952861955
2019-03,3.1620227038183693
2019-04,3.409853249475891
2019-05,3.416326530612245
2019-06,4.022058823529412
2019-07,4.145748987854251
2019-08,3.286447638603696
2019-09,3.0149732620320857
2019-10,3.1211498973305956
2019-11,3.4089569160997732
2019-12,3.516860465116279
2020-01,3.4965317919075143
2020-02,3.0940813810110974
2020-03,3.4892344497607657
2020-04,3.453305785123967
2020-05,4.362198391420911
2020-06,5.5757997218358835
2020-07,5.459139784946236
2020-08,3.73360768175583
2020-09,3.0850187265917604
